1,_,是正品,真伪,正面
1,_,擦在脸上勾称白嫩,使用体验,正面
1,_,是个不错的商品,整体,正面
2,_,不是我喜欢的,整体,负面
2,颜色,明显,其他,负面
2,_,让人家一眼就看出,使用体验,负面
3,_,还是挺细腻的,使用体验,正面
4,_,还行吧,整体,正面
5,效果,不错,功效,正面
6,_,很细腻,使用体验,正面
6,_,贴合肤色,使用体验,正面
6,_,一下子提亮了肌肤,功效,正面
6,_,很好,整体,正面
7,_,特别好用,整体,正面
7,_,建议购买,整体,正面
7,_,很喜欢,整体,正面
8,_,好评,整体,正面
9,_,好东西,整体,正面
9,_,还可以,使用体验,正面
10,_,不错,整体,正面
11,_,不错,整体,正面
11,_,没有油腻的感觉,使用体验,正面
11,_,敷上很清爽,使用体验,正面
11,_,水润,使用体验,正面
12,包装,一般,包装,中性
12,_,看着还行,整体,正面
13,质量,一般般,整体,中性
14,_,不错,整体,正面
15,物流速度,快,物流,正面
15,盖子,裂了,包装,负面
15,一小块,掉了,包装,负面
15,_,很不爽,整体,负面
16,_,没以前的好用了,整体,负面
17,发货速度,快,物流,正面
18,_,很喜欢,整体,正面
18,_,很好用,整体,正面
19,_,很好,整体,正面
19,_,不错,整体,正面
19,_,支持**,整体,正面
19,_,给力,整体,正面
19,_,大赞一个,整体,正面
19,_,喜欢,整体,正面
20,_,不油腻,使用体验,正面
20,_,自然,整体,正面
21,_,挺好用的,整体,正面
22,_,很适合油性和混油的皮肤,使用体验,正面
22,_,最合适了,使用体验,正面
22,_,会会洗的比较干净的,功效,正面
23,_,很不错呢,整体,正面
23,_,很贴肤细腻,使用体验,正面
24,_,不错,整体,正面
25,_,比平时优惠,价格,正面
26,_,很好用,整体,正面
26,_,太贵了,价格,负面
26,_,有点干,使用体验,负面
27,_,真心不错,整体,正面
28,成膜,较慢,使用体验,负面
28,_,油腻,使用体验,负面
28,使用效果,一般,整体,中性
29,_,很好用,整体,正面
29,_,很温和,使用体验,正面
30,_,还可以吧,整体,正面
30,_,刚涂上有些发白,功效,负面
30,_,过会儿就自然了,功效,正面
31,_,不错不错,整体,正面
31,效果,非常好,功效,正面
32,卸妆,干净,功效,正面
32,_,比之前的好,整体,正面
32,_,给个好评,整体,正面
33,_,好用,整体,正面
33,_,很自然,功效,正面
34,_,就是快,物流,正面
34,东西,很好,整体,正面
34,_,用着不错,使用体验,正面
35,_,送了很多东西,整体,正面
35,洗面奶,有刺激性,成分,负面
35,_,洗后有些痒,使用体验,负面
35,_,很不舒服,使用体验,负面
36,快递,很快的,物流,正面
37,速度,很快,物流,正面
37,_,很划算,价格,正面
38,_,很水润,使用体验,正面
38,包装,也不错,包装,正面
39,物流,很快,物流,正面
39,快递小哥服务,很好,服务,正面
39,_,是真的,真伪,正面
40,_,特别划得来,价格,正面
41,_,水水的,使用体验,正面
41,_,很好用,整体,正面
41,_,不紧绷了,使用体验,正面
42,_,一般,整体,中性
43,_,挺好用的,整体,正面
43,酒精味,重,气味,负面
44,_,很喜欢,整体,正面
45,_,很好,整体,正面
45,_,一直在用,整体,正面
45,_,购买了好几次了,整体,正面
46,_,还可以,整体,正面
47,_,非常不错哦,整体,正面
47,味道,没有刺鼻的,气味,正面
47,_,很温和,使用体验,正面
48,_,还行,整体,正面
48,_,不错,整体,正面
49,盒子,没有,包装,负面
49,塑料袋,_,包装,负面
49,_,太垃圾了,整体,负面
49,_,不值这个价,价格,负面
50,香味,淡淡的,气味,正面
50,_,还不错,整体,正面
50,发票,不提供,服务,负面
50,发票,不方便,服务,负面
51,_,不错,整体,正面
52,_,好用,整体,正面
52,_,显白,功效,正面
52,_,不油腻,使用体验,正面
53,价格,挺便宜的,价格,正面
54,这款面膜,不错,整体,正面
54,打折,_,价格,正面
54,快递速度,快,物流,正面
54,快递小哥,点赞,物流,正面
55,_,很不错,整体,正面
55,价格,实惠,价格,正面
